brand_cn,brand_en,brand_slug,title,price_usd,length_mm,ring_gauge,handle,category_slug,cuban_parent_slug,image1,image2,image3,image4,image5
玻利瓦尔,BOLIVAR,bolivar,皇家皇冠铝管 Royal Coronas (10支),465,124,50,bolivar-royal-coronas-10,bolivar,cigar-cuban,https://api.shangjiacigar.com/static/1774260384309-BOLIVAR_Royal_Coronas_1.jpg,https://api.shangjiacigar.com/static/1774260385642-BOLIVAR_Royal_Coronas_2.jpg,,,
玻利瓦尔,BOLIVAR,bolivar,比利高鱼雷 BELICOSOS FINOS (25枝),1296,140,52,bolivar-belicosos-finos-25,bolivar,cigar-cuban,https://api.shangjiacigar.com/static/1774260385642-BOLIVAR_Belicosos_Finos_1.jpg,https://api.shangjiacigar.com/static/1774260385644-BOLIVAR_Belicosos_Finos_2.jpg,,,
多尔赛码头,QUAI DORSAY,quai-dorsay,帝国旅行保湿盒 Imperiales Travel Humidor (20枝),1960,178,47,quai-dorsay-imperiales-travel-humidor-20,quai-dorsay,cigar-cuban,https://api.shangjiacigar.com/static/1774260385644-QUAI_DORSAY_Imperiales_1.jpg,https://api.shangjiacigar.com/static/1774260385645-QUAI_DORSAY_Imperiales_2.jpg,,,
多尔赛码头,QUAI DORSAY,quai-dorsay,50号 No.50 (10枝),379,110,50,quai-dorsay-50-no-50-10,quai-dorsay,cigar-cuban,https://api.shangjiacigar.com/static/1774260387650-QUAI_DORSAY_No50_1.jpg,https://api.shangjiacigar.com/static/1774260387655-QUAI_DORSAY_No50_2.jpg,https://api.shangjiacigar.com/static/1774260387657-QUAI_DORSAY_No50_3.jpg,https://api.shangjiacigar.com/static/1774260387657-QUAI_DORSAY_No50_4.jpg,https://api.shangjiacigar.com/static/1774260387657-QUAI_DORSAY_No50_5.jpg
多尔赛码头,QUAI DORSAY,quai-dorsay,50号 No.50 (25枝),980,110,50,quai-dorsay-50-no-50-25,quai-dorsay,cigar-cuban,https://api.shangjiacigar.com/static/1774260388548-Quai_Dorsay_No50_3.jpg,https://api.shangjiacigar.com/static/1774260388548-Quai_Dorsay_No50_4.jpg,https://api.shangjiacigar.com/static/1774260388549-Quai_Dorsay_No50_5.jpg,,
多尔赛码头,QUAI DORSAY,quai-dorsay,52号 No.52 (10枝),598,156,52,quai-dorsay-52-no-52-10,quai-dorsay,cigar-cuban,https://api.shangjiacigar.com/static/1774260388549-QUAI_DORSAY_No52_2.jpg,https://api.shangjiacigar.com/static/1774260388549-QUAI_DORSAY_No52_3.jpg,,,
多尔赛码头,QUAI DORSAY,quai-dorsay,52号 No.52 (25枝),1246,156,52,quai-dorsay-52-no-52-25,quai-dorsay,cigar-cuban,https://api.shangjiacigar.com/static/1774260389700-Quai_Dorsay_No52_1.jpg,https://api.shangjiacigar.com/static/1774260389699-Quai_Dorsay_No52_2.jpg,https://api.shangjiacigar.com/static/1774260389689-Quai_Dorsay_No52_3.jpg,https://api.shangjiacigar.com/static/1774260389690-Quai_Dorsay_No52_4.jpg,
多尔赛码头,QUAI DORSAY,quai-dorsay,54号 No.54 (10枝),532,135,54,quai-dorsay-54-no-54-10,quai-dorsay,cigar-cuban,https://api.shangjiacigar.com/static/1774260389692-QUAI_DORSAY_No54_2.jpg,https://api.shangjiacigar.com/static/1774260390764-QUAI_DORSAY_No54_3.jpg,https://api.shangjiacigar.com/static/1774260390766-QUAI_DORSAY_No54_4.jpg,,
多尔赛码头,QUAI DORSAY,quai-dorsay,54号 No.54 (25枝),1196,135,54,quai-dorsay-54-no-54-25,quai-dorsay,cigar-cuban,https://api.shangjiacigar.com/static/1774260390766-Quai_Dorsay_No54_1.jpg,https://api.shangjiacigar.com/static/1774260390767-Quai_Dorsay_No54_2.jpg,https://api.shangjiacigar.com/static/1774260390767-Quai_Dorsay_No54_3.jpg,https://api.shangjiacigar.com/static/1774260391559-Quai_Dorsay_No54_4.jpg,https://api.shangjiacigar.com/static/1774260391560-Quai_Dorsay_No54_5.jpg
多尔赛码头,QUAI DORSAY,quai-dorsay,克拉罗皇冠 Coronas Claro (25枝),947,142,42,quai-dorsay-coronas-claro-25,quai-dorsay,cigar-cuban,https://api.shangjiacigar.com/static/1774260391560-QUAI_DORSAY_Coronas_Claro_2.jpg,https://api.shangjiacigar.com/static/1774260391560-QUAI_DORSAY_Coronas_Claro_3.jpg,,,
高希霸,COHIBA,cohiba,迷你 Mini（100枝）,150,82,20,cohiba-mini-100,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260391560-COHIBA_Mini_1.jpg,https://api.shangjiacigar.com/static/1774260392333-COHIBA_Mini_2.jpg,https://api.shangjiacigar.com/static/1774260392334-COHIBA_Mini_3.jpg,,
高希霸,COHIBA,cohiba,宽短号 WIDE SHORT（60枝）,402,100,32,cohiba-wide-short-60,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260392334-COHIBA_SHORT_1.jpg,https://api.shangjiacigar.com/static/1774260392334-COHIBA_SHORT_2.jpg,https://api.shangjiacigar.com/static/1774260392334-COHIBA_SHORT_3.jpg,https://api.shangjiacigar.com/static/1774260393391-COHIBA_WIDE_SHORT_1.jpg,
高希霸,COHIBA,cohiba,短号 SHORT (100枝),279,82,27,cohiba-short-100,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260393390-monte_short_1.jpg,https://api.shangjiacigar.com/static/1774260393390-monte_short_2.jpg,https://api.shangjiacigar.com/static/1774260393391-monte_short_3.jpg,,
高希霸,COHIBA,cohiba,俱乐部 CLUB C/P (100枝),250,97,22,cohiba-club-c-p-100,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260393391-COHIBA_CLUB_1.jpg,,,,
